"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7M7SF38B","journalArticle","2022","Amin, A.; Ur Rehman, R.; Ali, R.; Ntim, C.G.","Does gender diversity on the board reduce agency cost? Evidence from Pakistan","Gender in Management","","","10.1108/GM-10-2020-0303","https://www.scopus.com/pages/publications/85114017636?origin=resultslist","Purpose: This study aims to examine the effects of board gender diversity on agency costs in non-financial firms listed on the Pakistan Stock Exchange (PSX). Design/methodology/approach: Multiple regression analysis is used to determine the impact of board gender diversity on agency cost. The research used panel data consisting of 2,062 firm-year observations of 226 non-financial firms listed on the PSX from 2008 to 2019 to test the proposed hypothesis. In addition, the Blau and the Shannon indices were used to checking for robustness. Findings: The results indicate that female presence on the board significantly reduces the agency cost and, hence, mitigates the principal-agent conflict. Moreover, consistent with the critical mass theory, it was found that boards with three or more female directors have a stronger impact on reducing the agency cost, as compared to two or fewer female directors on the board. Research limitations/implications: The sample was restricted to non-financial firms listed on the PSX only; therefore, the results reflect the attributes of Pakistan’s business environment. A similar analysis in the context of other countries may generate different results. Practical implications: The findings imply that female directors play an important role in reducing agency conflicts between shareholders and managers by enhancing monitoring through effective governance mechanisms. The policymakers, therefore, should focus on female career development and encourage professional training programmes to generate a fair, competitive environment for senior female management. Originality/value: This study attempts to fill the literature gap in that no similar study covers the non-financial firms’ listed firms in Pakistan. The paper supports the reforms made by the code of corporate governance by making the placement of female directors mandatory on Pakistani corporate boards. Overall, support is provided for the view that regulators should favour gender quotas regarding the composition of the board management team of listed firms to reduce agency conflicts and gain shareholder confidence. © 2021, Emerald Publishing Limited.","2022","2026-07-20 03:46:05","2026-07-20 03:46:05","","164-181","","2","37.0","","Gender in Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4FT4TSMA","journalArticle","2023","Shaheen, R.; Luo, Q.; Bala, H.","Untying the role of board gender diversity in dividend policy of politically embedded Chinese firms","Journal of Applied Accounting Research","","","10.1108/JAAR-11-2021-0301","https://www.scopus.com/pages/publications/85131213451?origin=resultslist","Purpose: This study aims to investigate the role of board gender diversity (BGD) in dividend payout decisions of politically embedded firms (PEFs) including government-linked firms (GLFs) and non-GLFs in comparison to non-PEFs from the perspective of an emerging market, China. Design/methodology/approach: The study uses the fixed-effect regression to examine the relationship between BGD and dividend payout decisions of PEFs including GLFs and non-GLFs in comparison to non-PEFs for a sample of Chinese publicly listed firms over the period 2010–2018. Findings: The paper presents robust evidence that BGD is associated with higher dividend payments in PEFs than non-PEFs. Similarly, female directors on GLFs' boards are more likely to pay higher dividends than non-GLFs. Moreover, findings also reveal that the female directors' impact on dividend payout decisions is more pronounced in high corporate social responsibility (CSR) PEFs compared to low CSR peers, regardless of the nature of political ties. Research limitations: The major limitation of this research that it is restricted to Chinese firms that operate under distinctive economic, social, and political environments. However, the study findings are generalizable to other emerging economies which have similar institutional settings and corporate environments with high government intervention like China. Practical implications: The findings will enable policymakers to design policies targeted at the inclusion of female directors on PEFs' boards to reduce information asymmetry and agency conflicts. However, considering the heterogeneity of female directors' role in dividend payout decisions of GLFs and non-GLFs, the policymakers should be cautious while establishing the female quota in these firms. Originality/value: The role of BGD in dividend policy decisions of politically connected firms remained unexplored. This study is the first to unveil the role of female directors in dividend payout decisions of PEFs and non- PEFs. In addition, this research further contributes to the literature by exploring the BGD-dividend policy link in PEFs with high- and low-CSR engagements. © 2022, Emerald Publishing Limited.","2023","2026-07-20 03:46:05","2026-07-20 03:46:05","","170-198","","1","24.0","","Journal of Applied Accounting Research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3LVIUIT","journalArticle","2022","Kamath, B.","Board Gender Diversity and Intellectual Capital Performance of Firms in India","Journal Women's Entrepreneurship and Education","","","10.28934/jwee22.12.pp97-116","https://www.scopus.com/pages/publications/85134295022?origin=resultslist","The study analyses the impact of female representation on boards of top Indian firms and examines its impact on the Intellectual Capital (IC) performance of these firms. A sample representing firms across different industries is studied for a five-year period from FY 2014-15 to 2018-19. The data is analyzed using panel regression wherein BLAU’s Index, Shannon’s Index of gender diversity and the percentage of independent women directors are taken as explanatory variables. The IC performance is measured using Value added intellectual capital (VAIC) and its sub-components viz. Human Capital Efficiency (HCE), Capital expended Efficiency (CEE) and Structural Capital Efficiency (SCE). IC performance results are a clear indication that at existing levels of women representation, gender diversity or IWD is not showing any specific and strong impact for the sample firms. The result for IC sub-components is mixed. The CEE is seen to be significantly influenced by the gender diversity on boards, whereas the HCE and SCE are not associated with it. © 2022, Institute of Economic Sciences. All rights reserved.","2022","2026-07-20 03:46:05","2026-07-20 03:46:05","","97-116","","1-2","2022.0","","Journal Women's Entrepreneurship and Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QBV92VM6","journalArticle","2021","Hyejeong, S.; Seun-Young, P.","The association between board gender diversity and corporate investment efficiency","Korean Accounting Review","","","10.24056/KAR.2021.08.007","https://www.scopus.com/pages/publications/85115249697?origin=resultslist","We investigate the relationship between board with female outside directors (FODs) and firms’ investment efficiencies using the firms listed in KOSPI from 2015 to 2019. We find that the association between firms with FODs and their investment efficiencies is generally insignificant although we find a weak negative association with under-investment. Then, we conduct the additional analyses to see if the association between them would be different in firms with high agency costs arising from excess free cash flow. Interestingly, we find that firms with FODs are negatively associated with over-investment as well as under-investment but the association is only pronounced in firms with higher level of free cash flow. The results of this study continue to maintain when we employ propensity score matching approach to address self-selection bias. Overall, our evidence supports the prior studies suggesting the positive aspect of gender-diverse boards in corporate decision-making process. That is, gender diversity may enhance board‘s governance roles, providing implication that female outside directors in boards can add a value to a firm needing a strong governance mechanism. This could be of interest of regulators and policy makers while considering the adoption of female quota system in the board of directors in listed firms. © 2021, Korean Accounting Association. All rights reserved.","2021","2026-07-20 03:46:06","2026-07-20 03:46:06","","213-247","","4","46.0","","Korean Accounting Review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZYVL365","journalArticle","2024","Tran, T.H.; Lu, W.-M.; Ting, I.W.K.; Huang, H.-L.; Fauzi, M.A.","Examining the impact of board gender diversity and regional differentiation in the ESG-corporate performance nexus: Evidence from financial service industry","Managerial and Decision Economics","","","10.1002/mde.4246","https://www.scopus.com/pages/publications/85192989052?origin=resultslist","This study explores the impact of environmental, social, and governance (ESG) factors on corporations by investigating how board gender diversity moderates the relationship between ESG practices and corporate performance across different regions. Using traditional data envelopment analysis (DEA) and chance-constrained DEA models, the study analyzes 225 financial service firms over an 11-year period (2011–2021). Results indicate that high (low) board gender diversity levels significantly influence the connection between the environmental (social) aspects of ESG practices and corporate performance. Thus, the roles of stakeholder engagement and regional distinctions are highlighted in achieving sustainable development goals. © 2024 John Wiley & Sons Ltd.","2024","2026-07-20 03:46:06","2026-07-20 03:46:06","","4105-4124","","6","45.0","","Managerial and Decision Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMYH3J23","journalArticle","2022","Ben-Amar, W.; Bujaki, M.; McConomy, B.; McIlkenny, P.","Disclosure transparency and impression management: A textual analysis of board gender diversity disclosures in Canada","Corporate Social Responsibility and Environmental Management","","","10.1002/csr.2267","https://www.scopus.com/pages/publications/85126764177?origin=resultslist","This article examines whether firms' board gender diversity disclosures signal transparency, reveal impression management, or both. To disentangle the two disclosure motives further, we also investigate whether the disclosure features of clarity and tone are related to new women director appointments. Based on initial gender diversity disclosures of 506 Toronto Stock Exchange (TSX) publicly traded firms, our results suggest that firms committed to enhancing board diversity provide clearer disclosures and exhibit a higher level of “optimism” to signal their confidence in the positive outcomes of diversity. In contrast, firms reluctant to enhance their diversity policies engage in impression management through obfuscation and show the most “certainty” in their diversity disclosures to indicate no change to the status quo is required. We also find that tone optimism does translate into enhanced diversity practices while certainty is negatively related to subsequent diversity performance. Taken together, our findings are consistent with the assertion that firms employ a combination of signaling and impression management strategies in their disclosures about diversity practices. © 2022 ERP Environment and John Wiley & Sons Ltd.","2022","2026-07-20 03:46:06","2026-07-20 03:46:06","","1247-1265","","5","29.0","","Corporate Social Responsibility and Environmental Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WP3XF534","journalArticle","2024","Yuan, D.; Shang, D.; Wu, X.","Board diversity and stock price crash risk: exacerbate or mitigate","Humanities and Social Sciences Communications","","","10.1057/s41599-024-03833-5","https://www.scopus.com/pages/publications/85205693416?origin=resultslist","As China is the largest emerging capital market, stock price crash risk (SPCR) due to corporate governance failures is a frequent phenomenon. The board of directors stands as the cornerstone of corporate governance, wielding a substantial influence on the SPCR. The influence of board diversity (BD) on SPCR remains a topic rife with unanswered questions. To fill this gap, we construct a multidimensional index system to capture BD and examine its impact on the SPCR based on companies listed on the Chinese A-share market from 2010 to 2020. Our findings show that BD mitigates SPCR rather than exacerbates it. The foundational findings remain intact even after addressing issues of endogeneity and executing thorough validity tests. We further identify four mechanisms to lower SPCR through influencing board monitoring, including reducing agency costs, alleviating inefficient investments, improving information disclosure, and appointing diverse executives. Overall, our research underscores the pivotal importance of BD within the capital market and provides new insights into the mitigation mechanisms of the SPCR. © The Author(s) 2024.","2024","2026-07-20 03:46:06","2026-07-20 03:46:06","","","","1","11.0","","Humanities and Social Sciences Communications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P4M9ZATC","journalArticle","2023","Khan, H.U.R.; Bin Khidmat, W.; Hammouda, A.; Muhammad, T.","Machine learning in the boardroom: Gender diversity prediction using boosting and undersampling methods","Research in International Business and Finance","","","10.1016/j.ribaf.2023.102053","https://www.scopus.com/pages/publications/85168457641?origin=resultslist","This paper addresses the crucial issue of boardroom diversity and proposes a novel approach utilizing machine learning to predict gender diversity on the boards of Chinese publicly-traded companies from 2008 to 2017. The study employs tree-based boosting with under-sampling as the machine learning technique. Various tree-based boosting techniques are utilized, and the evaluation is based on accuracy, precision, recall, F1 scores, and ROC scores. The findings reveal that extreme Gradient Boosting (XGBoost) with undersampling outperforms other models in terms of predictive performance. Moreover, the paper extracts interpretable principles in the form of if-else statements from the model to enhance its interpretability. This approach contributes to achieving corporate governance goals by promoting board gender diversity using machine learning techniques. © 2023","2023","2026-07-20 03:46:06","2026-07-20 03:46:06","","","","","66.0","","Research in International Business and Finance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9KBL9W73","journalArticle","2022","Ozdemir, O.; Erkmen, E.; Binesh, F.","Board diversity and firm risk-taking in the tourism sector: Moderating effects of board independence, CEO duality, and free cash flows","Tourism Economics","","","10.1177/13548166211014367","https://www.scopus.com/pages/publications/85105457006?origin=resultslist","This study examines the effect of board diversity on risk-taking for tourism firms and analyzes the moderating effect of board independence, CEO duality, and free cash flows in this proposed relationship. Using a composite index of board diversity and a sample of tourism firms from the US hotel, restaurant, and airline industries, we find that greater board diversity leads to lower risk-taking, measured in standard deviation of return on assets. Moreover, we report that the risk-reduction effect of board diversity is more profound when tourism firms have less board independence and less free cash flows for investments. When board diversity is decomposed into relation-oriented and task-oriented diversity attributes, we find that only the task-oriented diversity is influential in reducing firm risk-taking for tourism firms. Akin to main analysis, the board independence and free cash flows are significant moderators of the relationship between task-oriented diversity and firm risk-taking. © The Author(s) 2021.","2022","2026-07-20 03:46:06","2026-07-20 03:46:06","","1782-1804","","7","28.0","","Tourism Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KK2F7DYZ","journalArticle","2023","Silvera, G.A.; Erwin, C.O.; Garman, A.N.","A Seat at the Table: An Examination of Hospital Governing Board Diversity, 2011-2021","Journal of Healthcare Management","","","10.1097/JHM-D-22-00068","https://www.scopus.com/pages/publications/85149923238?origin=resultslist","Goal: Board diversity is increasingly important for hospitals and healthcare systems, with national attention focused on eliminating health disparities and improving health equity. Yet, it remains a challenge despite concerted efforts by leading professional associations (e.g., American College of Healthcare Executives) to galvanize their constituents around the importance of the issue. Methods: This study used survey data from The Governance Institute to explore the ethnoracial and gender diversity of hospital boards spanning 2011 through 2021. Principal Findings: The results showed modest gains in the mean number of female board members, although a small proportion of hospital boards still have no female representation. There was little change in the number of boards with ethnic minority representation until an uptick in 2021, likely in direct response to high-profile racial incidents and protests. Practical Applications: Intentional and sustained efforts are necessary to increase diversity and create a culture of inclusion that fosters meaningful engagement of diverse board members. © 2023 Authors. All rights reserved.","2023","2026-07-20 03:46:06","2026-07-20 03:46:06","","132-142","","2","68.0","","Journal of Healthcare Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
