Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,tl,ab,jo,Decision,Reason,Evidence,Eligibility,Elig_Reason
SR2CMV3R,journalArticle,2021.0,"Hyejeong, S.; Seun-Young, P.",The association between board gender diversity and corporate investment efficiency,Korean Accounting Review,,,10.24056/KAR.2021.08.007,https://www.scopus.com/pages/publications/85115249697?origin=resultslist,"We investigate the relationship between board with female outside directors (FODs) and firms’ investment efficiencies using the firms listed in KOSPI from 2015 to 2019. We find that the association between firms with FODs and their investment efficiencies is generally insignificant although we find a weak negative association with under-investment. Then, we conduct the additional analyses to see if the association between them would be different in firms with high agency costs arising from excess free cash flow. Interestingly, we find that firms with FODs are negatively associated with over-investment as well as under-investment but the association is only pronounced in firms with higher level of free cash flow. The results of this study continue to maintain when we employ propensity score matching approach to address self-selection bias. Overall, our evidence supports the prior studies suggesting the positive aspect of gender-diverse boards in corporate decision-making process. That is, gender diversity may enhance board‘s governance roles, providing implication that female outside directors in boards can add a value to a firm needing a strong governance mechanism. This could be of interest of regulators and policy makers while considering the adoption of female quota system in the board of directors in listed firms. © 2021, Korean Accounting Association. All rights reserved.",2021.0,2026-07-19 09:30:50,2026-07-19 09:30:50,,213-247,,4,46.0,,,,,,,,,,,,,Scopus,,,,,,,,Board gender diversity; Agency theory; Female outside director; Free cash flow; Investment efficiency; Resource dependence theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the association between board gender diversity and corporate investment efficiency,"we investigate the relationship between board with female outside directors (fods) and firms investment efficiencies using the firms listed in kospi from 2015 to 2019. we find that the association between firms with fods and their investment efficiencies is generally insignificant although we find a weak negative association with under-investment. then, we conduct the additional analyses to see if the association between them would be different in firms with high agency costs arising from excess free cash flow. interestingly, we find that firms with fods are negatively associated with over-investment as well as under-investment but the association is only pronounced in firms with higher level of free cash flow. the results of this study continue to maintain when we employ propensity score matching approach to address self-selection bias. overall, our evidence supports the prior studies suggesting the positive aspect of gender-diverse boards in corporate decision-making process. that is, gender diversity may enhance boards governance roles, providing implication that female outside directors in boards can add a value to a firm needing a strong governance mechanism. this could be of interest of regulators and policy makers while considering the adoption of female quota system in the board of directors in listed firms. 2021, korean accounting association. all rights reserved.",korean accounting review,Keep,No exclusion criterion met (doubt resolved toward inclusion),,Exclude,Outcome peripheral to the four synthesis themes
TWFUDYGG,journalArticle,2024.0,"Tran, T.H.; Lu, W.-M.; Ting, I.W.K.; Huang, H.-L.; Fauzi, M.A.",Examining the impact of board gender diversity and regional differentiation in the ESG-corporate performance nexus: Evidence from financial service industry,Managerial and Decision Economics,,,10.1002/mde.4246,https://www.scopus.com/pages/publications/85192989052?origin=resultslist,"This study explores the impact of environmental, social, and governance (ESG) factors on corporations by investigating how board gender diversity moderates the relationship between ESG practices and corporate performance across different regions. Using traditional data envelopment analysis (DEA) and chance-constrained DEA models, the study analyzes 225 financial service firms over an 11-year period (2011–2021). Results indicate that high (low) board gender diversity levels significantly influence the connection between the environmental (social) aspects of ESG practices and corporate performance. Thus, the roles of stakeholder engagement and regional distinctions are highlighted in achieving sustainable development goals. © 2024 John Wiley & Sons Ltd.",2024.0,2026-07-19 09:30:50,2026-07-19 09:30:50,,4105-4124,,6,45.0,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,examining the impact of board gender diversity and regional differentiation in the esg-corporate performance nexus: evidence from financial service industry,"this study explores the impact of environmental, social, and governance (esg) factors on corporations by investigating how board gender diversity moderates the relationship between esg practices and corporate performance across different regions. using traditional data envelopment analysis (dea) and chance-constrained dea models, the study analyzes 225 financial service firms over an 11-year period (20112021). results indicate that high (low) board gender diversity levels significantly influence the connection between the environmental (social) aspects of esg practices and corporate performance. thus, the roles of stakeholder engagement and regional distinctions are highlighted in achieving sustainable development goals. 2024 john wiley & sons ltd.",managerial and decision economics,Keep,No exclusion criterion met (doubt resolved toward inclusion),,Exclude,Outcome peripheral to the four synthesis themes
VWFAGTBD,journalArticle,2022.0,"Ozdemir, O.; Erkmen, E.; Binesh, F.","Board diversity and firm risk-taking in the tourism sector: Moderating effects of board independence, CEO duality, and free cash flows",Tourism Economics,,,10.1177/13548166211014367,https://www.scopus.com/pages/publications/85105457006?origin=resultslist,"This study examines the effect of board diversity on risk-taking for tourism firms and analyzes the moderating effect of board independence, CEO duality, and free cash flows in this proposed relationship. Using a composite index of board diversity and a sample of tourism firms from the US hotel, restaurant, and airline industries, we find that greater board diversity leads to lower risk-taking, measured in standard deviation of return on assets. Moreover, we report that the risk-reduction effect of board diversity is more profound when tourism firms have less board independence and less free cash flows for investments. When board diversity is decomposed into relation-oriented and task-oriented diversity attributes, we find that only the task-oriented diversity is influential in reducing firm risk-taking for tourism firms. Akin to main analysis, the board independence and free cash flows are significant moderators of the relationship between task-oriented diversity and firm risk-taking. © The Author(s) 2021.",2022.0,2026-07-19 09:30:50,2026-07-19 09:30:50,,1782-1804,,7,28.0,,,,,,,,,,,,,Scopus,,,,,,,,board diversity; board independence; CEO duality; finance; free cash flows; investment; organization; risk; risk-taking; tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"board diversity and firm risk-taking in the tourism sector: moderating effects of board independence, ceo duality, and free cash flows","this study examines the effect of board diversity on risk-taking for tourism firms and analyzes the moderating effect of board independence, ceo duality, and free cash flows in this proposed relationship. using a composite index of board diversity and a sample of tourism firms from the us hotel, restaurant, and airline industries, we find that greater board diversity leads to lower risk-taking, measured in standard deviation of return on assets. moreover, we report that the risk-reduction effect of board diversity is more profound when tourism firms have less board independence and less free cash flows for investments. when board diversity is decomposed into relation-oriented and task-oriented diversity attributes, we find that only the task-oriented diversity is influential in reducing firm risk-taking for tourism firms. akin to main analysis, the board independence and free cash flows are significant moderators of the relationship between task-oriented diversity and firm risk-taking. the author(s) 2021.",tourism economics,Keep,Inclusion signal in abstract: measur,measur,Exclude,Outcome peripheral to the four synthesis themes
GC3Y83A6,journalArticle,2023.0,"Arnardottir, A.A.; Sigurjonsson, T.O.; Gabaldon, P.",GENDER DIVERSITY ON CORPORATE BOARDS: DIRECTORS’ PERCEPTIONS OF BOARD FUNCTIONING AND GENDER QUOTAS,Journal of Governance and Regulation,,,10.22495/jgrv12i2art9,https://www.scopus.com/pages/publications/85159383474?origin=resultslist,"This research explores how increased gender diversity on corporate boards in Iceland, driven by applying a ―hard‖ public policy, i.e., board gender quota legislation, has affected post-quota board directors‘ perceptions of board functioning. This study falls into the growing literature on board diversity (Boshanna, 2021; Li et al., 2020). Directors‘ opinions towards board decision-making and monitoring activities are researched, as well as their effect on corporate governance practices. A survey was answered by 244 board directors in Iceland. Results show that the initial attitude towards gender quotas was more negative among male directors than female directors but became more similar and positive over time. Strong support is found for increased female board participation leading to different viewpoints being discussed at the board table in addition to better decision-making. A similar picture emerges regarding the behavior of holding chief executive officers (CEOs) accountable and being more focused on corporate governance practices. These results were significantly the view of female directors and directors chairing the assessed board. Male directors are more negative than their female counterparts about the short-term effect of increased female participation is having on board dynamics. This research indicates that a gender quota has led to increased female board participation in addition to impacting decision-making corporate norms, according to directors, as policymakers intended. © 2023 The Authors.",2023.0,2026-07-19 09:30:50,2026-07-19 09:30:50,,92-103,,2,12.0,,,,,,,,,,,,,Scopus,,,,,,,,Board Diversity; Corporate Governance; Gender Quota; Monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gender diversity on corporate boards: directors perceptions of board functioning and gender quotas,"this research explores how increased gender diversity on corporate boards in iceland, driven by applying a hard public policy, i.e., board gender quota legislation, has affected post-quota board directors perceptions of board functioning. this study falls into the growing literature on board diversity (boshanna, 2021; li et al., 2020). directors opinions towards board decision-making and monitoring activities are researched, as well as their effect on corporate governance practices. a survey was answered by 244 board directors in iceland. results show that the initial attitude towards gender quotas was more negative among male directors than female directors but became more similar and positive over time. strong support is found for increased female board participation leading to different viewpoints being discussed at the board table in addition to better decision-making. a similar picture emerges regarding the behavior of holding chief executive officers (ceos) accountable and being more focused on corporate governance practices. these results were significantly the view of female directors and directors chairing the assessed board. male directors are more negative than their female counterparts about the short-term effect of increased female participation is having on board dynamics. this research indicates that a gender quota has led to increased female board participation in addition to impacting decision-making corporate norms, according to directors, as policymakers intended. 2023 the authors.",journal of governance and regulation,Keep,Meets inclusion signal: quota,quota,Exclude,Duplicative of retained meta-analytic and review evidence
2FYAVPAS,journalArticle,2022.0,"Marquez-Cardenas, V.; Gonzalez-Ruiz, J.D.; Duque-Grisales, E.",Board gender diversity and firm performance: evidence from Latin America,Journal of Sustainable Finance and Investment,,,10.1080/20430795.2021.2017256,https://www.scopus.com/pages/publications/85122303979?origin=resultslist,"This study aims at analysing the relationship between board gender diversity (BGD) and financial performance for firms with headquarters based in Latin America (LatAm). Using panel data from 243 listed firms during the period 2012–2018, we find that BGD in LatAm does not lead to any change in firm performance, mainly because the underrepresentation of women on boards in the region compared to their male counterparts. As a result, the ability to improve the firms’ reputation and the relationships with stakeholders as well as the capability to better monitor performance and bring new ideas by female board members are then unavailable to enhance the firms’ performance. The paper also analyses the moderating effect of board independence on the relationship between BGD and firm performance. These study’s findings may be used for providing a roadmap that researchers and investorss can use to improve their understanding of BGD. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",2022.0,2026-07-19 09:30:50,2026-07-19 09:30:50,,785-808,,3,12.0,,,,,,,,,,,,,Scopus,,,,,,,,corporate governance; board independence; board gender diversity; Boards of directors; firm performance; gender equality; Latin America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board gender diversity and firm performance: evidence from latin america,"this study aims at analysing the relationship between board gender diversity (bgd) and financial performance for firms with headquarters based in latin america (latam). using panel data from 243 listed firms during the period 20122018, we find that bgd in latam does not lead to any change in firm performance, mainly because the underrepresentation of women on boards in the region compared to their male counterparts. as a result, the ability to improve the firms reputation and the relationships with stakeholders as well as the capability to better monitor performance and bring new ideas by female board members are then unavailable to enhance the firms performance. the paper also analyses the moderating effect of board independence on the relationship between bgd and firm performance. these studys findings may be used for providing a roadmap that researchers and investorss can use to improve their understanding of bgd. 2022 informa uk limited, trading as taylor & francis group.",journal of sustainable finance and investment,Keep,No exclusion criterion met (doubt resolved toward inclusion),,Exclude,Duplicative of retained meta-analytic and review evidence
Y825DNWA,journalArticle,2020.0,"Markoczy, L.; Sun, S.L.; Zhu, J.",Few Women on Boards: What’s Identity Got to Do With It?,Journal of Business Ethics,,,10.1007/s10551-019-04104-z,https://www.scopus.com/pages/publications/85060335555?origin=resultslist,"Drawing on the similarity-attraction perspective and social identity theory, we argue that male versus female interlocking directors are likely to have different experiences when they work alongside female board directors of other firms. The theorized source of such experiences for male interlocking directors is in-group favoritism and/or a social identity threat-related discomfort. Interlocking female directors are theorized to be ambivalent between desiring social support versus experiencing identity threat-based career concerns. These experiences are predicted to motivate male versus female interlocking directors in different ways to reduce or, conversely, to potentially facilitate female representation on focal boards. We additionally predict that economic crisis reduces the biases of male directors against appointing female directors to boards. We test our hypotheses based on a novel data set that includes 25,460 directors in Chinese A-share public companies with a sample of 27,058 firm-quarter observations for 1635 firms between 2006 and 2010 and find most of our hypotheses supported. © 2019, Springer Nature B.V.",2020.0,2026-07-19 09:30:50,2026-07-19 09:30:50,,311-327,,2,165.0,,,,,,,,,,,,,Scopus,,,,,,,,Women on boards; Board interlock ties; Social identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,few women on boards: whats identity got to do with it?,"drawing on the similarity-attraction perspective and social identity theory, we argue that male versus female interlocking directors are likely to have different experiences when they work alongside female board directors of other firms. the theorized source of such experiences for male interlocking directors is in-group favoritism and/or a social identity threat-related discomfort. interlocking female directors are theorized to be ambivalent between desiring social support versus experiencing identity threat-based career concerns. these experiences are predicted to motivate male versus female interlocking directors in different ways to reduce or, conversely, to potentially facilitate female representation on focal boards. we additionally predict that economic crisis reduces the biases of male directors against appointing female directors to boards. we test our hypotheses based on a novel data set that includes 25,460 directors in chinese a-share public companies with a sample of 27,058 firm-quarter observations for 1635 firms between 2006 and 2010 and find most of our hypotheses supported. 2019, springer nature b.v.",journal of business ethics,Keep,Inclusion signal in abstract: interlock,interlock,Exclude,Did not directly inform the synthesis themes
FZYWBK9Y,journalArticle,2021.0,"Buertey, S.",Board gender diversity and corporate social responsibility assurance: The moderating effect of ownership concentration,Corporate Social Responsibility and Environmental Management,,,10.1002/csr.2121,https://www.scopus.com/pages/publications/85101443825?origin=resultslist,"This paper investigates (a) the relationship between board gender diversity (FDoB) and the assurance of corporate social responsibility (CSR) reports, (b) and examines the moderation effect of ownership concentration on the FDoB and CSR assurance relationship. Logistic regression analysis is used to estimate the coefficients of the variables. The result shows a positive relationship between FDoB and the assurance of CSR reports, and that, consistent with critical mass theory, the relationship is greater for firms with two or more women on boards. Further analysis, however, shows that ownership concentration has an adverse effect on the FDoB and CSR assurance nexus. Practically, the study provides stakeholders the impetus to pursue reforms that advance board gender diversity among firms to promote corporate governance and accountability. Theoretically, it contributes to the literature on board gender diversity. It has also advanced the relevance of critical mass theory in the context of gender diversity in the boardroom. © 2021 ERP Environment and John Wiley & Sons Ltd.",2021.0,2026-07-19 09:30:50,2026-07-19 09:30:50,,1579-1590,,6,28.0,,,,,,,,,,,,,Scopus,,,,,,,,corporate governance; board gender diversity; accountability; assurance; corporate social responsibility; stakeholders; transparency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board gender diversity and corporate social responsibility assurance: the moderating effect of ownership concentration,"this paper investigates (a) the relationship between board gender diversity (fdob) and the assurance of corporate social responsibility (csr) reports, (b) and examines the moderation effect of ownership concentration on the fdob and csr assurance relationship. logistic regression analysis is used to estimate the coefficients of the variables. the result shows a positive relationship between fdob and the assurance of csr reports, and that, consistent with critical mass theory, the relationship is greater for firms with two or more women on boards. further analysis, however, shows that ownership concentration has an adverse effect on the fdob and csr assurance nexus. practically, the study provides stakeholders the impetus to pursue reforms that advance board gender diversity among firms to promote corporate governance and accountability. theoretically, it contributes to the literature on board gender diversity. it has also advanced the relevance of critical mass theory in the context of gender diversity in the boardroom. 2021 erp environment and john wiley & sons ltd.",corporate social responsibility and environmental management,Keep,Inclusion signal in abstract: critical mass,critical mass,Exclude,Outcome peripheral to the four synthesis themes
PHWW8TKQ,journalArticle,2020.0,"Bufarwa, I.M.; Elamer, A.A.; Ntim, C.G.; AlHares, A.","Gender diversity, corporate governance and financial risk disclosure in the UK",International Journal of Law and Management,,,10.1108/IJLMA-10-2018-0245,https://www.scopus.com/pages/publications/85090784478?origin=resultslist,"Purpose: This study aims to investigate the impact of corporate governance (CG) mechanisms on financial risk reporting in the UK. Design/methodology/approach: The study uses a panel data of 50 non-financial firms belonging to 10 industrial sectors listed on the London Stock Exchange in the period 2011-2015. Multivariate regression techniques are used to examine the relationships. Findings: The findings of this study reveal that CG has a significant influence on financial risk disclosure. Specifically, it is found that block ownership and board gender diversity have a positive effect on the level of corporate financial risk disclosure (FRD). While there is no significant relationship between board size and corporate FRD. Research limitations/implications: This study has significant implications for policy-makers, investors and regulators. Evidence of growing FRD implies that efforts by several stakeholders have had some positive impact on the level of FRD in the firms examined. Examples of such changes include, namely, increasing board size and gender diversity acting as effective firm level advisors and monitors of FRD. As a consequence, regulators and policymakers should continually pursue reforms to encourage firms to follow CG principles that are promoted as good practice. Originality/value: This study adds to the emerging body of literature on CG–risk disclosure relationships in the UK context using content analysis. The study also highlights that gender diversity enhances FRD. © 2020, Emerald Publishing Limited.",2020.0,2026-07-19 09:30:50,2026-07-19 09:30:50,,521-538,,6,62.0,,,,,,,,,,,,,Scopus,,,,,,,,Gender diversity; Corporate governance; Block ownership; Board size; Financial risk disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gender diversity, corporate governance and financial risk disclosure in the uk","purpose: this study aims to investigate the impact of corporate governance (cg) mechanisms on financial risk reporting in the uk. design/methodology/approach: the study uses a panel data of 50 non-financial firms belonging to 10 industrial sectors listed on the london stock exchange in the period 2011-2015. multivariate regression techniques are used to examine the relationships. findings: the findings of this study reveal that cg has a significant influence on financial risk disclosure. specifically, it is found that block ownership and board gender diversity have a positive effect on the level of corporate financial risk disclosure (frd). while there is no significant relationship between board size and corporate frd. research limitations/implications: this study has significant implications for policy-makers, investors and regulators. evidence of growing frd implies that efforts by several stakeholders have had some positive impact on the level of frd in the firms examined. examples of such changes include, namely, increasing board size and gender diversity acting as effective firm level advisors and monitors of frd. as a consequence, regulators and policymakers should continually pursue reforms to encourage firms to follow cg principles that are promoted as good practice. originality/value: this study adds to the emerging body of literature on cgrisk disclosure relationships in the uk context using content analysis. the study also highlights that gender diversity enhances frd. 2020, emerald publishing limited.",international journal of law and management,Keep,Meets inclusion signal:  uk, uk,Exclude,Outcome peripheral to the four synthesis themes
5WPACY8S,journalArticle,2023.0,"Fernandes, V.; Kuzey, C.; Uyar, A.; Karaman, A.S.","Board structure policy, board diversity and social sustainability in the logistics and transportation sector",International Journal of Physical Distribution and Logistics Management,,,10.1108/IJPDLM-09-2021-0415,https://www.scopus.com/pages/publications/85142422530?origin=resultslist,"Purpose: This study aims to examine the roles of board gender and cultural diversities in driving social sustainability practices through the moderating effect of board structure policies in the logistics and transportation sector. Design/methodology/approach: The authors conducted fixed-effects regression with 2005–2019 data from Thomson Reuters Eikon. Findings: The results showed that female directors are significant predictors of social sustainability across the four dimensions of human rights, workforce, product responsibility and community development. Additionally, directors with different cultural backgrounds (but not the workforce) are significant determinants of community development, human rights and product responsibility. Furthermore, although board structure policies positively moderate the relationship between board gender diversity and social sustainability, they fail to moderate the relationship between board cultural diversity and social sustainability. Originality/value: The findings have crucial implications for the logistics and transportation sector's social sustainability and may help the sector align with employees' and society's expectations. The incorporation of board gender and cultural diversities into the research design was a response to calls by the European Union (EU) and the United Nations (UN) to address board configuration and stakeholders' concerns. © 2022, Emerald Publishing Limited.",2023.0,2026-07-19 09:30:50,2026-07-19 09:30:50,,62-92,,1,53.0,,,,,,,,,,,,,Scopus,,,,,,,,Board gender diversity; Board cultural diversity; Board policies; Logistics/transportation sector; Social sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"board structure policy, board diversity and social sustainability in the logistics and transportation sector","purpose: this study aims to examine the roles of board gender and cultural diversities in driving social sustainability practices through the moderating effect of board structure policies in the logistics and transportation sector. design/methodology/approach: the authors conducted fixed-effects regression with 20052019 data from thomson reuters eikon. findings: the results showed that female directors are significant predictors of social sustainability across the four dimensions of human rights, workforce, product responsibility and community development. additionally, directors with different cultural backgrounds (but not the workforce) are significant determinants of community development, human rights and product responsibility. furthermore, although board structure policies positively moderate the relationship between board gender diversity and social sustainability, they fail to moderate the relationship between board cultural diversity and social sustainability. originality/value: the findings have crucial implications for the logistics and transportation sector's social sustainability and may help the sector align with employees' and society's expectations. the incorporation of board gender and cultural diversities into the research design was a response to calls by the european union (eu) and the united nations (un) to address board configuration and stakeholders' concerns. 2022, emerald publishing limited.",international journal of physical distribution and logistics management,Keep,No exclusion criterion met (doubt resolved toward inclusion),,Exclude,Outcome peripheral to the four synthesis themes
8RK9LS42,journalArticle,2024.0,"Mukhibad, H.; Setiawan, D.; Aryani, Y.A.; Falikhatun, F.",Corporate governance and Islamic bank risk – do the directors’ and the Shariah board’s diversity attributes matter?,Corporate Governance (Bingley),,,10.1108/CG-08-2022-0348,https://www.scopus.com/pages/publications/85184225534?origin=resultslist,"Purpose: This study aims to investigate the effect of the diversity of the board of directors (BOD) and the shariah supervisory board (SSB) on credit risk, insolvency, operations, reputation, rate of deposit return risk (RDRR) and equity-based financing risk (EBFR) of Islamic banks (IB). Design/methodology/approach: The study uses 68 IBs from 19 countries covering 2009 to 2019. BOD and SSB diversity attributes data were hand-collected from the annual reports. Financial data were collected from the bankscope database. The robustness test and two-step system generalized method of moment estimation technique were used to address potential endogeneity issues. Findings: This study provides evidence that diversity in the experience and cross-membership of board members decreases the risk. Gender diversity increases the risk, but the BOD’s education level diversity has no relationship with risk. More interestingly, influences in the experience and cross-membership of the SSB’s members positively influence risk. However, members’ education levels and gender diversity have not been proven to affect risk. Practical implications: The paper recommends that Islamic banking authorities play a stronger role and make a greater effort in driving corporate governance reform. Also, determining individual characteristics of the board is a requirement to become a member of a BOD or an SSB. Originality/value: This paper expands the commitment literature through the diversity of the BOD’s and the SSB’s members in terms of their education levels, experience, cross-membership and gender. This study expands the list of potential risks for IBs, by including the RDRR and EBFR. © 2024, Emerald Publishing Limited.",2024.0,2026-07-19 09:30:50,2026-07-19 09:30:50,,1213-1234,,5,24.0,,,,,,,,,,,,,Scopus,,,,,,,,Resource dependence theory; Economic and social psychology; Risk-taking; Shariah board diversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate governance and islamic bank risk do the directors and the shariah boards diversity attributes matter?,"purpose: this study aims to investigate the effect of the diversity of the board of directors (bod) and the shariah supervisory board (ssb) on credit risk, insolvency, operations, reputation, rate of deposit return risk (rdrr) and equity-based financing risk (ebfr) of islamic banks (ib). design/methodology/approach: the study uses 68 ibs from 19 countries covering 2009 to 2019. bod and ssb diversity attributes data were hand-collected from the annual reports. financial data were collected from the bankscope database. the robustness test and two-step system generalized method of moment estimation technique were used to address potential endogeneity issues. findings: this study provides evidence that diversity in the experience and cross-membership of board members decreases the risk. gender diversity increases the risk, but the bods education level diversity has no relationship with risk. more interestingly, influences in the experience and cross-membership of the ssbs members positively influence risk. however, members education levels and gender diversity have not been proven to affect risk. practical implications: the paper recommends that islamic banking authorities play a stronger role and make a greater effort in driving corporate governance reform. also, determining individual characteristics of the board is a requirement to become a member of a bod or an ssb. originality/value: this paper expands the commitment literature through the diversity of the bods and the ssbs members in terms of their education levels, experience, cross-membership and gender. this study expands the list of potential risks for ibs, by including the rdrr and ebfr. 2024, emerald publishing limited.",corporate governance (bingley),Keep,No exclusion criterion met (doubt resolved toward inclusion),,Exclude,Outcome peripheral to the four synthesis themes
